,company_name,job_title,level,location,salary_max,salary_min,tags
0,"Data Wow Co.,Ltd","Full-stack Developer - Ruby on Rails, ReactJS","Senior-Level, Full time", - พระโขนง กรุงเทพมหานคร,150000,50000,"#aws,#mongodb,#react,#rspec,#ruby-on-rails"
1,"Finnomena.Co.,Ltd.",Full Stack Developer,"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,55000,45000,"#css3,#golang,#html,#javascript,#sql"
2,ViaBus,Android Developer,"Entry-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,50000,25000,"#android,#java,#kotlin"
3,ViaBus,iOS Developer,"Entry-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,50000,25000,"#ios,#objective-c,#swift"
4,ViaBus,Full Stack Engineer,"Entry-Level, Full time", - ปทุมวัน กรุงเทพมหานคร,50000,25000,"#javascript,#php,#vuejs,#web-development"
5,Oozou,Android Developer,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,130000,50000,"#android,#java,#kotlin"
6,Oozou,Javascript Developer – alert('apply now!');,"Senior-Level, Full time", - วัฒนา กรุงเทพมหานคร,130000,50000,"#javascript,#nodejs,#react,#reactjs,#redux"
7,Varisoft,Game Designer นักออกแบบเกม,"Middle-Level, Full time", - คลองเตย กรุงเทพมหานคร,35000,18000,#gamedevelopment
8,ARIS,Full Stack Developer,"Entry-Level, Full time", - สาทร กรุงเทพมหานคร,50000,30000,"#elastic-search,#javascript,#nodejs"
9,ARIS,Business Developer,"Entry-Level, Full time", - สาทร กรุงเทพมหานคร,40000,25000,"#business,#ecommerce,#livestream,#sales"
10,"Magic Box Asia Co., Ltd.",Revenue Manager,"Senior-Level, Full time", - บางรัก กรุงเทพมหานคร,50000,25000,"#negotiation,#presentation,#problem-solving,#sales"
11,"Magic Box Asia Co., Ltd.",Frontend Developer (React Native/ReactJs),"Entry-Level, Full time", - บางรัก กรุงเทพมหานคร,35000,20000,"#frontend,#react,#react-native,#reactjs"
12,"Defense Me Co.,Ltd.",Frontend Developer (React Native or Angular),"Middle-Level, Full time", - จตุจักร กรุงเทพมหานคร,35000,25000,"#css3,#javascript,#webapp"
13,"BYI Co, Ltd.",Programmer & Web Developer (C#),"Entry-Level, Full time", - พญาไท กรุงเทพมหานคร,50000,18000,"#asp.net,#c-sharp,#entity-framework,#sql-server,#web-service"
14,ConvoLab,Full-Stack Developer,"Entry-Level, Full time", - พญาไท กรุงเทพมหานคร,65000,30000,"#elastic-search,#javascript,#nodejs,#typescript"
